address,reason
"City Of Plainfied, Plainfield, NJ",Imprecise
"North Plainfieeld, Plainfield, NJ",Imprecise
"Nj/piscataway, Plainfield, NJ",Imprecise
1200 Rahway Rd,"""OTHER"" municipality"
"New Providence Police, Plainfield, NJ",Other police department
"Middlesex Cty Jail, Plainfield, NJ",Other police department
"Nj/Somerset County, Plainfield, NJ",Not an address or intersection
"Nj/boundbrook, Plainfield, NJ",Not an address or intersection
"Midddlesex County/Null, Plainfield, NJ",Not an address or intersection
"Middlesex County, Plainfield, NJ",Not an address or intersection
"Nj/watchung, Plainfield, NJ",Not an address or intersection
"Essex County Jail, Plainfield, NJ",Other police department
"365 Sly St/ Newark Nj, Plainfield, NJ",Not a real address anywhere in the state of New Jersey
"Hillsbou Police, Plainfield, NJ",Other police department
"Nj/Middlesex Co, Plainfield, NJ",Not an address or intersection
"Shrewsbury Twp Police, Plainfield, NJ",Other police department
"Somerset County, Plainfield, NJ",Not an address or intersection
"Elizabeth, Plainfield, NJ",Not an address or intersection
"Westfield/nj/null, Plainfield, NJ",Not an address or intersection
"Nj/Roselle, Plainfield, NJ",Not an address or intersection
"Dunellen Police, Plainfield, NJ",Other police department
"Orange, Plainfield, NJ",Not an address or intersection
"Nj/greenbrook, Plainfield, NJ",Not an address or intersection
"33 Commerical Ave, Plainfield, NJ","There is not a Commercial Ave in Plainfield. There is one in New Brunswick, NJ, which is about 30 mins away "
"Nj/Seaside Heights Pd, Plainfield, NJ",Not an address or intersection
"Monmouth County Jail, Plainfield, NJ",Other police department
"Nj/union County, Plainfield, NJ",Not an address or intersection
"Somerset County, Plainfield, NJ",Not an address or intersection
"Las Vagas, Plainfield, NJ",Not an address or intersection
"Nj/ Nj Transit Pd, Plainfield, NJ",Other police department
"Nj/piscataway, Plainfield, NJ",Not an address or intersection
"500 North Ave, Plainfield, NJ",Address is actually in the neighborhing town of Fanwood
"100 Depot Pk, Plainfield, NJ",Not a real address anywhere in the state of New Jersey
"1200 Rahway Rd, Plainfield, NJ",Address is actually in the neighborhing town of Scotch Plains
"1814 1st St, Plainfield, NJ",Address is actually in the neighborhing town of Dunellen
"1808 1st St, Plainfield, NJ",Address is actually in the neighborhing town of Dunellen
"1818 1st St, Plainfield, NJ",Address is actually in the neighborhing town of Dunellen
"Liberty St, Plainfield, NJ",Not an address or intersection
"Orchard Pl, Plainfield, NJ",Not an address or intersection
"Rock Ave, Plainfield, NJ",Not an address or intersection
